Venues,Time,Activity,,,,,,,,,Day 1,,,,,,„«—Ê ﬂﬂÂ— Ã«„⁄… ∫ ,,,,,,,,,,,
,,,,,,,,,,,Day 5,,,,,,«Â‰« Ê«·œÌ‰ ‰Ì ﬂÊ∆Ì ‰ÌﬂÌ Â”””Ö ﬂ™ „Ê·Ï ‰Ì Ã«„⁄… „« Ê”””∫,,,,,,,,,,,
,,,,,,,,,,,Venues,Evan ,Lobby,Evan ,Evan ,Evan ,Masjid Zahra,,,,,,,,,,,
,,,,,,,,,,,Time,9:00-10:00 AM,10:10-10:20 AM,10:30- 11:25 AM,11:35-11:55 AM,12:00-12:45  PM,0.541666667,,,,,,,,,,,
,,,,,,,,,,,Activity,"M=Academic 9 (Grp Emadi)
F: Academic 10 (Grp Ruqaiyah )",Refreshments,Tasuraat/ Pledge Sign,Closing Ceremony,Photoshoot,Zohr Asr,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,Venues,Time,Activity,Day 2,Venues,Time,Activity,Day 3,Venues,Time,Activity,Day 4,Venues,Time,Activity,Day 5,Venues,Time,Activity,,,,,,,,,
,Auditoirium,9:00:00 AM,Isteqbal,,Evan,0.322916667,Tilawat Dua - Qa'at for Females,,Evan,0.322916667,Tilawat Dua - Qa'at for Females,,Evan,0.322916667,Tilawat Dua - Qa'at,,Evan ,9:00-10:00 AM,"M=Academic 9 (Grp Emadi)
F: Academic 10 (Grp Ruqaiyah )",,,,,,,,,
,Auditorium,9:15 - 10:15 AM,Welcome/ Tarheeb,,Auditorium,8:15-10:00 AM,Jamea System Briefing,,Auditorium ,8:15-9:15 AM,Mahad Zahra Briefing,,Auditorium,8:30 ñ 9:00 AM,Further Studies and proficiencies,,Lobby,10:10-10:20 AM,Refreshments,,,,,,,,,
,Lobby,10:20 -10:40 AM,Refreshments,,Lobby,10:05 -10:20 AM,Refreshments,,Auditorium ,9:25-10:10 AM,-,,Radiant Arts,9:00 ñ 10:30 AM,Video - Shores Of Africa,,Evan ,10:30- 11:25 AM,Tasuraat/ Pledge Sign,,,,,,,,,
,Auditorium,10:45- 11:50 AM,Orientation Academics and Marhala,,Maktabat,10:25-11:55 AM,-,,Tadbeer Manzili Room,9:25-10:10 AM," Academic 11 - Art Room
(only Females)",,Mawaid,10:30-11:00 AM,Refreshments,,Evan ,11:35-11:55 AM,Closing Ceremony,,,,,,,,,
,Admin Bldg,12:00-12:45 PM ,MasooleAmm/Manshoorat/Makhzan/,,Tanzeem,10:25-11:55 AM,"Jamea Tour
Assembly Point ?",,Mawaid,10:15 -10:30 AM,Refreshments,,Auditorium,11:00 ñ 11:20 AM ,Talk - Dental Awareness ,,Evan ,12:00-12:45  PM,Photoshoot,,,,,,,,,
„«—Ê ﬂﬂÂ— Ã«„⁄… ∫ ,Masjid Zahra,12:50:00 PM,Zohr Asr Namaz,Ã«„⁄… „«—Ê ﬂﬂÂ— ∫ ,Admin Building,12:00-12:45 PM,Jawazat Documents submission/Mahal Shifa,"Ì™  Ê Â„«—Ê «˙∆‰œÂ ‰Ê ·‘ﬂ— ∫°",Qa'at ,10:35 AM - 12:00 PM,"Tadeeb & Rabwat
(only females)","Â— ÕÕÂÊ÷÷« ‰”” „ÂÊ÷÷« ‰”” œ· „« Ê”«Ì« ° ‰”” €›·… ‰Ì ‰Ì‰œ ”Ì Â„‰”” Ãﬂﬂ«Ì«",Auditorium,11:30 - 12:05 PM,Talk - Art of Parenting ,«Â‰« Ê«·œÌ‰ ‰Ì ﬂÊ∆Ì ‰ÌﬂÌ Â”””Ö ﬂ™ „Ê·Ï ‰Ì Ã«„⁄… „« Ê”””∫,Masjid Zahra,0.541666667,Zohr Asr,,,,,,,,,
,Mawaid,1:10:00 PM,Lunch,,Masjid Zahra,0.534722222,Zohr Asr Namaz,,Radiant Arts,10:35 - 11:15 AM,-,,Admin Building,12:15-1:15 PM,AVIT Fingerprints and photos,,,,,,,,,,,,,
,Mawaid,2:15 - 3:00 PM,Leisure,,Mawaid,0.548611111,Lunch,,Admin Building,12:00-12:45 AM,Lawazim deposit ,,Masjid Zahra,0.559027778,Zohr Asr Namaz,,,,,,,,,,,,,
,Maskan ,3:30 - 4:50 PM,-,,Mawaid,2:15 - 3:15 PM,Leisure,,Masjid Zahra,0.541666667,Zohr Asr Namaz,,Mawaid,0.572916667,Lunch,,,,,,,,,,,,,
, Rabwat,3:00 - 4:50 PM,Rabwat Tour,,Academic 8/10 ,0.65625,Refreshments ,,Mawaid,0.548611111,"Lunch
Jamarwanu",,Evan,3:00-4:00 PM,Akhlaq Fazela Paper,,,,,,,,,,,,,
,Tanzeem,5:00 - 6:00 PM,-,,Academic 8/10 ,4:00-6:00 PM,Masool and Moaddib,,Mawaid,2:00 - 3:45 PM,Mawaid - Facility Tour,,Siynat/Dental,4:00-6:00 PM,AJSN Landscaping Tour,,,,,,,,,,,,,
,Maktabat,5:00 - 6:00 PM," MaktabatFacility tour A , Book Tasting B, JHS Profiling C",,Khaimat,4:15 - 600 PM,-,,Academic 8 ,4:00-5:15 PM,-,,Masjid Zahra,0.774305556,Magreb Esha Namaz,,,,,,,,,,,,,
,Masjid Zahra,6:35:00 PM,Magrib Isha Namaz,,Masjid Zahra,0.774305556,Magreb Esha Namaz,,Khaimat,4:00 - 5:15 PM,Physical Fitness Saifee,,Academics 9-10,0.791666667,"M=Academic 9 (Grp Emadi)
F: Academic 10 (Grp Ruqaiyah )",,,,,,,,,,,,,
,Academics 9-10,7:00:00 PM,"M=Academic 9 (Grp Emadi)
F: Academic 10 (Grp Ruqaiyah )",,Academics 9-10,0.791666667,"M=Academic 9 (Grp Emadi)
F: Academic 10 (Grp Ruqaiyah )",,Academics 9-10,5:30 - 6:15 PM,"M=Academic 9 (Grp Emadi)
F: Academic 10 (Grp Ruqaiyah )",,Mawaid,0.833333333,Dinner ,,,,,,,,,,,,,
,Mawaid,8:00:00 PM,Dinner,,Mawaid,0.833333333,Dinner,,Masjid Zahra,0.774305556,Namaz/Majlis,,Dental Clinic - Rabwat ,8:30-9:30 PM,Dental Check up,,,,,,,,,,,,,
,,,,,Evan/ Sehan,0.864583333,Qasida (Majmooi),,Mawaid,0.833333333,Dinner,,,,,,,,,,,,,,,,,
,,,,,,,,,Maskan Rabwat,0.895833333,Qasida,,,,,,,,,,,,,,,,,
